Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify_streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,390470936,"30,716",196631588,92,"84,274,754","1,713,126","5,767,700","651,565,900","5,332,281,936","150,597,040",210,"40,975",684,62,"17,598,718",114,"18,004,655","22,931","4,818,457","2,669,262",,0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,323703884,"28,113",174597137,92,"116,347,040","3,486,739","674,700","35,223,547","208,339,025","156,380,351",188,"40,778",3,67,"10,422,430",111,"7,780,028","28,444","6,623,075","1,118,279",,1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,601309283,"54,331",211607669,92,"122,599,116","2,228,730","3,025,400","275,154,237","3,369,120,610","373,784,955",190,"74,333",536,136,"36,321,847",172,"5,022,621","5,639","7,208,651","5,285,340",,0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,2031280633,"269,802",136569078,85,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394,"1,474,799","2,182",264,"24,684,248",210,"190,260,277","203,384",,"11,822,942",,0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,107034922,"7,223",151469874,88,"77,373,957","3,670,188","16,400",,,"112,763,851",182,"12,185",1,82,"17,660,624",105,"4,493,884","7,006","207,179","457,017",,1
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,670665438,"105,892",175421034,83,"131,148,091","1,392,593","4,202,367","214,943,489","2,938,686,633","2,867,222,632",138,"522,042","4,654",86,"17,167,254",152,"138,529,362","50,982","9,438,601","4,517,131",,1
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,900158751,"73,118",201585714,86,"308,723,145","4,120,760",,"29,584,940","534,915,313","4,601,579,812",280,"383,478",429,168,"48,197,850",154,"65,447,476","57,372",,"9,990,302",,0
Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,675079153,"40,094",211236940,92,"228,382,568","1,439,495","3,500,000","338,546,668","3,804,584,163","2,112,581,620",160,"17,221",30,87,"33,245,595",53,"3,372,428","5,762",,"6,063,523",,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,90676573,"10,400",184199419,86,"32,735,244","988,682","325,800","121,574,500","974,656,200","174,706,874",191,"3,823",117,78,"10,800,098",92,"1,005,626",842,"3,679,709","666,302",,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,250080413,"16,219",168766158,91,"32,229,063","550,191",,"184,500","2,100,000","327,130,768",157,"62,312",71,60,"12,009,073",114,"23,155,471","21,172","1,594,605","963,413",,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,221636195,"13,800",197280692,92,"40,022,524","1,307,290","195,300","45,889,000","360,017,000","342,107,131",244,"41,344",45,138,"38,243,636",163,"1,354,692","1,219","1,313,357","450,344",,0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308.2,355186436,"43,025",108168634,88,"98,081,493","1,456,177",,,,"174,491,415",153,"90,237",3,55,"3,001,826",109,"26,252,264","18,364","12,038,034","1,963,314",,1
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,925655569,"103,605",79944921,79,"934,302,031","4,294,166","11,054,500","521,725,116","7,499,234,052","2,042,145,659",94,"92,231",228,60,"5,633,435",83,"12,171,026","13,242","871,978","2,765,808",,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,395433400,"12,784",177932568,89,"104,673,836","2,484,083","139,300","25,348,800","207,317,000","268,893,710",221,"129,968",3,99,"37,988,531",134,"9,961,769","13,437","377,734","1,210,029",,0
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,1258569694,"105,218",198845580,87,"141,646,818","1,514,837","2,294,429","419,319,161","5,456,156,211","2,667,285,437",207,"667,329","3,310",188,"21,788,568",150,"44,850,379","12,270",,"6,973,652",,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,91272461,"6,499",52287548,86,"16,038,053","569,377","941,900","119,740,900","1,225,345,800","5,839,168",76,181,1,24,"5,054,005",33,"283,089",162,"975,891","257,661",,0
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,3301814535,"407,119",169783402,87,"800,899,315","9,101,589","2,755,903","1,633,970,617","15,405,881,843","7,289,707,052",455,"1,777,811","4,909",330,"12,907,852",189,"132,624,772","79,909",,"14,967,379",,0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,1065399331,"170,890",121712197,78,"240,970,670","2,749,668","3,091,732","652,428,798","7,095,564,106","1,063,591,802",158,"400,899",273,143,"13,718,632",146,"70,291,476","49,111",,"7,559,816",,1
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,547882871,"24,425",262343414,95,"107,550,212","1,825,761","209,200","169,144,295","1,379,499,000","422,646,034",298,"37,208",236,167,"41,414,565",149,"10,362,898","10,848","1,551,157","1,373,085",,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,426700979,"34,044",152928632,86,"35,724,356","437,980","1,470,500","485,200,392","6,518,604,175","1,213,175,656",159,"309,497",257,194,"40,725,482",177,"13,860,535","36,282",,"2,100,708",,1
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,7382759,"3,504",661084,35,"4,233,958","69,990","37,621,885","1,636,811,753","22,918,660,728",,1,,439,1,6,1,,,,"633,525",,0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,3107100349,"451,732",134793519,78,"1,256,973,582","14,661,425","7,485,966","2,246,991,336","23,712,377,029","4,327,058,646",513,"1,510,151","4,096",166,"5,783,693",128,"196,783,487","124,922","36,341,585",,,1
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,KRE671700001,28,265.7,720822868,"60,945",7530769,71,"16,322,756,555","48,757,673","7,743,800","281,762,094","6,577,639,193","2,166,611",33,284,142,19,"52,179",17,"86,458,847","2,234,137",,"2,064,420",,0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,262.8,591068364,"26,203",197494995,87,"156,882,014","3,080,503",,,,"578,568,464",194,"200,230",32,117,"22,062,193",126,"10,106,573","7,689","1,612,479","1,579,980",,0
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,124893397,"3,479",25936342,82,"359,896,095","4,907,193","212,500","48,327,004","390,081,328","38,798,822",36,"2,188",32,3,"347,997",26,"130,743",592,"265,670","191,867",,0
Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,670376179,"98,450",150471020,83,"265,180,930","2,566,846","2,114,363","369,150,956","3,932,956,380","3,031,114,430",225,"486,952","1,215",180,"19,469,488",188,"40,418,532","27,555","6,049,784","6,447,136",,0
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,750154960,"139,141",103879363,79,"118,208,096","1,495,758","1,031,447","196,985,853","2,231,749,390","1,745,168,821",163,"378,114",856,113,"16,295,286",112,"20,228,317","5,331","10,938,075","7,477,917",,0
